Source,Title,Link,Date Scraped
Renew Canada,PCL Construction announces CEO and board chair leadership succession,https://www.renewcanada.net/pcl-construction-announces-ceo-and-board-chair-leadership-succession/,2025-06-10
Renew Canada,PCL aims for zero incidents with new safety program software,https://www.renewcanada.net/pcl-aims-for-zero-incidents-with-new-safety-program-software/,2025-06-10
Renew Canada,Trio from PCL Construction receive 2024 CAWIC Excellence Awards,https://www.renewcanada.net/trio-from-pcl-construction-receive-2024-cawic-excellence-awards/,2025-06-10
Renew Canada,PCL selected as a partner to deliver battery storage facilities in Nova Scotia,https://www.renewcanada.net/pcl-selected-as-a-partner-to-deliver-battery-storage-facilities-in-nova-scotia/,2025-06-10
Renew Canada,Four PCL projects collect Builder Awards from Ontario General Contractors Association,https://www.renewcanada.net/four-pcl-projects-collect-builder-awards-from-ontario-general-contractors-association/,2025-06-10
Renew Canada,PCL takes home three Toronto Construction Association Awards,https://www.renewcanada.net/pcl-takes-home-three-toronto-construction-association-awards/,2025-06-10
Renew Canada,SK signs contract with PCL to construct new Prince Albert Victoria Hospital,https://www.renewcanada.net/sk-signs-contract-with-pcl-to-construct-new-prince-albert-victoria-hospital/,2025-06-10
Renew Canada,YYC awards PCL Construction contract for West Runway Rehabilitation project,https://www.renewcanada.net/yyc-awards-pcl-construction-contract-for-west-runway-rehabilitation-project/,2025-06-10
Renew Canada,PCL Constructors awarded second phase of Rogers Centre renovation project,https://www.renewcanada.net/pcl-constructors-awarded-second-phase-of-rogers-centre-renovation-project/,2025-06-10
Renew Canada,PCL and Marco Group support local Hurricane Fiona relief,https://www.renewcanada.net/pcl-and-marco-group-support-local-hurricane-fiona-relief/,2025-06-10
Renew Canada,PCL expands solar operations with creation of new division,https://www.renewcanada.net/pcl-expands-solar-operations-with-creation-of-new-division/,2025-06-10
Renew Canada,PCL Constructors awarded first phase of Rogers Centre renovation projects,https://www.renewcanada.net/pcl-constructors-canada-awarded-first-phase-of-rogers-centre-renovation-projects/,2025-06-10
Renew Canada,Edmonton selects PCL to deliver cornerstone project of Yellowhead Trail Freeway Conversion,https://www.renewcanada.net/edmonton-selects-pcl-to-deliver-cornerstone-project-of-yellowhead-trail-freeway-conversion/,2025-06-10
Renew Canada,PCL Construction receives CCA Environmental Achievement Award,https://www.renewcanada.net/5000091001-2/,2025-06-10
Renew Canada,PCL celebrates 100 years of building in Edmonton and Northern Canada,https://www.renewcanada.net/5000090445-2/,2025-06-10
Renew Canada,PCL and Pomerleau collaborate on digital transformation of job sites,https://www.renewcanada.net/5000089836-2/,2025-06-10
Renew Canada,PCL and EllisDon implement Canadian vaccination verification requirements,https://www.renewcanada.net/5000088982-2/,2025-06-10
Renew Canada,PCL Construction opens new Montreal office,https://www.renewcanada.net/pcl-construction-opens-new-montreal-office/,2025-06-10
Renew Canada,PCL Construction appoints new district managers,https://www.renewcanada.net/pcl-construction-appoints-new-district-managers/,2025-06-10
Renew Canada,PCL selected to build new $1.9 billion hospital in Vancouver,https://www.renewcanada.net/pcl-selected-to-build-new-hospital-in-vancouver/,2025-06-10
Renew Canada,Craigen appointed President of PCLâ€™s Eastern Canadian operations,https://www.renewcanada.net/craigen-appointed-president-of-pcls-eastern-canadian-operations/,2025-06-10
Renew Canada,PCL welcomes new Director of Sustainability,https://www.renewcanada.net/pcl-welcomes-new-director-of-sustainability/,2025-06-10
